AGE ,Age (Days from conception),Region,PE.16.0,PE.16.1,PE.18.0,PE.18.1,PE.18.2(n6),PE.18.3(n6),PE.18.4,PE.18.3(n3)_or_20.1,PE.20.3(n-9),PE.20.3(n6),PE.20.4(n6),PE.22.4(n6),PE.22.5(n6),PE.22.5(n3),PE.22.6(n3),PE.24.4(n6),PE.n6,PE.n3,PE.n3_n6,PS.16.0,PS.16.1,PS.18.0,PS.18.1,PS.18.2(n6),PS.18.3(n6),PS.18.4,PS.18.3(n3)_or_20.1,PS.20.3(n-9),PS.20.3(n6),PS.20.4(n6),PS.22.4(n6),PS.22.5(n3),PS.22.5(n6),PS.22.6(n3),PS.24.4,PS.n6,PS.n3,PS.n3_n6,PI.16.0,PI.16.1,PI.18.0,PI.18.1,PI.18.2(n6),PI.18.3(n6),PI.18.4,PI.18.3(n3)_or_20.1,PI.20.3(n-9),PI.20.3(n6),PI.20.4(n6),PI.22.4(n6),PI.22.5(n6),PI.22.5(n3),PI.22.6(n3),PI.24.4(n6),PI.n6,PI.n3,PI.n3_n6,PC.16.0,PC.16.1,PC.18.0,PC.18.1,PC.18.2(n6),PC.18.3(n6),PC.18.4,PC.18.3(n3)_or_20.1,PC.20.3(n-9),PC.20.3(n6),PC.20.4(n6),PC.22.4(n6),PC.22.5(n6),PC.22.5(n3),PC.22.6(n3),PC.24.4(n6),PC.n6,PC.n3,PC.n3_n6,Total Phospholipids (g/100g tissue dry weight),Rel_PC,Rel_PS,Rel_PE,Rel_PI,Rel_SM
12 week ,84,Cerebral_Cortex_Grey,10.6,1.2,30,13.3,0.2,0.1,0.3,0.8,1.6,0.5,17.3,9.5,2.8,0.5,10.8,0.6,31,11.6,0.374193548,10.9,1.2,41.1,10.3,0.1,0.3,0.2,1,0.5,0.8,6.6,9.4,3.1,0.7,13.7,0.3,20.6,14.6,0.708737864,18.3,2.3,33.1,11.9,0.3,0.2,0.2,0.4,2.7,0.6,26.6,1.5,0.6,0.2,1.2,0,29.8,1.6,0.053691275,52.8,5.8,8.3,23.7,0.5,0,0.3,0.7,0.3,0.2,3,0.5,0.1,0,0.7,0,4.3,1,0.23255814,12.6,50.8,13.2,28.6,2.9,4.6
35 week ,245,Cerebral_Cortex_Grey,6.9,0.6,29.1,9.8,0.2,0.1,0.2,0.5,0.9,0.8,17.8,10.1,4.1,0.6,18.3,0.2,33.3,19.1,0.573573574,4.6,0.9,41.9,8.2,0.1,0.3,0.1,0.6,0.3,1.1,5.7,9.5,5.4,0.8,20.5,0.2,22.3,21.4,0.959641256,15.9,2.8,33.5,10.3,0.1,0.1,0.2,0.2,1,0.6,32.2,1.2,0.2,0,1.9,0,34.4,2.1,0.061046512,51.7,7.6,7.3,23.7,0.5,0,0.2,0.5,0.1,0.3,3,0.5,0.1,0,0.8,0,4.4,1,0.227272727,22.5,46.6,13.9,31.5,3.3,4.7
38 week ,266,Cerebral_Cortex_Grey,7.6,0.6,32.8,8.5,0.3,0,0.2,0.3,0.8,1,14.9,10.6,4.4,0.4,17.1,0.5,31.7,17.7,0.558359621,4.2,0.5,47.4,6.8,0.2,0.1,0.1,0.5,0.1,1.1,4.3,10.7,5.8,0,18.2,0.1,22.3,18.3,0.820627803,18.1,2.3,33.7,9.9,0.6,0.3,0.2,0.3,1,1,29.5,1.3,0.2,0,1.5,0,32.9,1.7,0.051671733,52.4,6.5,9.1,21.5,0.4,0,0.3,0.4,0.2,0.4,4.2,0.7,0.2,0,0.9,0,5.9,1.2,0.203389831,21.5,46.7,14.4,28,3.4,7.4
1 month,300,Cerebral_Cortex_Grey,6.4,0.7,34.6,8.7,0,0,0.3,0.3,0.6,1.2,16.5,11.1,2.7,0.7,16.1,0.3,31.8,17.1,0.537735849,3,0.4,49.9,9.6,0.1,0.3,0.2,0.5,0.1,1.3,3.8,7.7,3.5,0.5,18.7,0.3,17,19.4,1.141176471,14,1.6,40.2,8.2,0.2,0.3,0.2,0.1,0.7,0.6,29,1.4,0.4,0.2,2.5,0,31.9,2.9,0.090909091,46.6,5.4,9.6,25.9,0.4,0.1,0.2,0.4,0.1,0.7,6.1,0.8,0.1,0,1.7,0,8.3,1.9,0.228915663,21.7,41,14.4,34.9,3,6.8
7 month,480,Cerebral_Cortex_Grey,6.5,0.7,27.8,10.3,0.2,0,0.5,0.6,0.7,1.5,16.4,11.7,5,0.5,16.9,0.5,35.3,17.9,0.507082153,4.6,0.6,48.6,9.5,0.2,0.2,0.3,0.4,0.2,1.4,3.1,6.3,6.3,0.2,18.1,0.5,18,18.6,1.033333333,11.4,1,41.5,8.6,0.6,0.2,0.2,0.2,0.7,1.2,27.2,1.7,0.8,0,3.6,0.1,31.8,3.8,0.119496855,47.1,3.8,12.1,25.7,0.5,0.1,0.2,0.6,0.1,0.8,5,0.7,0.3,0,1.5,0,7.5,1.7,0.226666667,23.8,39.2,14.2,34.4,2.8,9.4
4 years,1460,Cerebral_Cortex_Grey,5,0.4,30.1,8.8,0.4,0,0.4,0.5,0.5,1.6,16.7,9.9,2.4,0.6,22.3,0.5,31.5,23.3,0.73968254,5.4,0.4,47.4,12,0.1,0.2,0.4,0.5,0.1,1.4,2.4,4.6,3,0.2,21.5,0.5,12.2,22.1,1.81147541,10.4,1.3,39.7,8,0.7,0.2,0.1,0.3,0.5,1.3,31.6,1.2,0.2,0,3,0,35.2,3.1,0.088068182,43.5,2.7,13.5,29,0.5,0.1,0.3,0.6,0.1,1.1,5.2,0.7,0.1,0,1.5,0,7.8,1.8,0.230769231,23,37.9,13.6,35.4,2.2,10.9
16 years,5840,Cerebral_Cortex_Grey,6,0.5,29.8,10.2,0.4,0,0.2,0.6,0.2,1.1,13,8.4,1.7,0.4,27,0.5,25.1,27.6,1.099601594,3.6,0.4,50.1,17.5,0.1,0.2,0.5,0.8,0.2,0.7,1.8,3.5,1.7,0.1,18.1,0.5,8.5,18.7,2.2,15.9,1,37.8,12.7,0.4,0.2,0.1,0.4,0.4,0.9,22.5,1.4,0.2,0,5.3,0.4,26,5.4,0.207692308,48.9,2.6,11.7,29,0.5,0,0.1,0.7,0,0.5,3.8,0.7,0,0,0.8,0,5.6,0.9,0.160714286,24.6,37.1,13.3,36.1,2.6,10.9
26 years,9490,Cerebral_Cortex_Grey,5.9,0.4,30.4,8.7,0.5,0.1,0.2,0.6,0.3,1.1,13.2,8.3,1.5,0.5,28.6,0.1,24.8,29.3,1.181451613,2.9,0.6,43.6,10.7,0.1,0.1,0.3,0.7,0.1,0.8,2,5,1.8,0.3,30.7,0.4,10.2,31.3,3.068627451,14,1.8,34.9,12.6,0.6,0.1,0.1,0.3,0.4,1.4,28.2,1.5,0,0,4,0,31.8,4.1,0.128930818,44,2.1,11.6,29.5,0.7,0.1,0.1,0.8,0.1,0.9,5.5,0.8,0.1,0,2.6,0,8.2,2.7,0.329268293,21.7,39.7,11.4,33.6,4.4,10.9
52 years,18980,Cerebral_Cortex_Grey,5.7,0.4,28.4,10.3,0.3,0,0.4,0.9,0.5,1,11.2,7.7,1.2,1.1,30.5,0.6,22,32,1.454545455,4.2,0.3,45.3,17.5,0.1,0.2,0.5,0.9,0.1,0.9,1.8,3,0.7,0.5,23.2,0.5,7.2,24.2,3.361111111,9,0.2,39.1,13,0.6,0.3,0.3,0.5,0.6,1.3,28.5,1.6,0.1,0.2,4.8,0.1,33.5,5.3,0.158208955,45.9,2.4,11.2,30.3,0.4,0,0.2,0.9,0.2,0.6,3.6,0.5,0,0,2.5,0,5.2,2.7,0.519230769,26.1,36.9,13.9,35.6,3.2,10.4
81 years,29565,Cerebral_Cortex_Grey,6.3,0.6,29.6,9.1,0.4,0,0.2,0.5,0.3,1.3,9.9,7,0.8,1,31.4,0.4,19.9,32.6,1.638190955,4.7,0.4,46.9,14,0.1,0.2,0.2,0.7,0.1,1,1.7,3.1,0.9,0.5,24.9,0.8,7.8,25.6,3.282051282,14.3,1,37.2,9.9,0.6,0.1,0.1,0.4,0.6,1.9,26.9,1.1,0.1,0.3,5.3,0.2,30.8,5.7,0.185064935,45.7,2,9.6,30.9,0.5,0,0.1,0.7,0.1,1,4.5,0.5,0,0,2.7,0,6.7,2.8,0.417910448,24.9,37.5,12.4,37,3.1,9
